time,device,activation_predicted
2016-09-01 16:00:00,device_6,1
2016-09-01 16:00:00,device_7,1
2016-09-01 17:00:00,device_1,1
2016-09-01 17:00:00,device_2,1
2016-09-01 17:00:00,device_3,1
2016-09-01 17:00:00,device_4,1
2016-09-01 17:00:00,device_5,1
2016-09-01 17:00:00,device_6,1
2016-09-01 17:00:00,device_7,0
2016-09-01 18:00:00,device_1,0
2016-09-01 18:00:00,device_2,0
2016-09-01 18:00:00,device_3,0
2016-09-01 18:00:00,device_4,1
2016-09-01 18:00:00,device_5,1
2016-09-01 18:00:00,device_6,0
2016-09-01 18:00:00,device_7,0
2016-09-01 19:00:00,device_1,0
2016-09-01 19:00:00,device_2,0
2016-09-01 19:00:00,device_3,1
2016-09-01 19:00:00,device_4,1
2016-09-01 19:00:00,device_5,0
2016-09-01 19:00:00,device_6,1
2016-09-01 19:00:00,device_7,1
2016-09-01 20:00:00,device_1,0
2016-09-01 20:00:00,device_2,0
2016-09-01 20:00:00,device_3,0
2016-09-01 20:00:00,device_4,0
2016-09-01 20:00:00,device_5,1
2016-09-01 20:00:00,device_6,1
2016-09-01 20:00:00,device_7,0
2016-09-01 21:00:00,device_1,1
2016-09-01 21:00:00,device_2,0
2016-09-01 21:00:00,device_3,1
2016-09-01 21:00:00,device_4,1
2016-09-01 21:00:00,device_5,1
2016-09-01 21:00:00,device_6,0
2016-09-01 21:00:00,device_7,0
2016-09-01 22:00:00,device_1,1
2016-09-01 22:00:00,device_2,0
2016-09-01 22:00:00,device_3,0
2016-09-01 22:00:00,device_4,1
2016-09-01 22:00:00,device_5,1
2016-09-01 22:00:00,device_6,1
2016-09-01 22:00:00,device_7,1
2016-09-01 23:00:00,device_1,0
2016-09-01 23:00:00,device_2,1
2016-09-01 23:00:00,device_3,0
2016-09-01 23:00:00,device_4,0
2016-09-01 23:00:00,device_5,0
2016-09-01 23:00:00,device_6,1
2016-09-01 23:00:00,device_7,1
